Object ID,Image Name,X Coordinate,Y Coordinate,May Image Path,June Image Path
1,"(37.482280°, 126.620365°)_SwinIR_SwinIR.png",548,390,"/content/detectron2/5월/(37.482280°, 126.620365°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.620365°)_SwinIR_SwinIR.png"
2,"(37.482280°, 126.623008°)_SwinIR_SwinIR.png",923,798,"/content/detectron2/5월/(37.482280°, 126.623008°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.623008°)_SwinIR_SwinIR.png"
3,"(37.482280°, 126.625651°)_SwinIR_SwinIR.png",1002,241,"/content/detectron2/5월/(37.482280°, 126.625651°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.625651°)_SwinIR_SwinIR.png"
4,"(37.482280°, 126.626972°)_SwinIR_SwinIR.png",58,560,"/content/detectron2/5월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png"
5,"(37.482280°, 126.626972°)_SwinIR_SwinIR.png",15,404,"/content/detectron2/5월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png"
6,"(37.482280°, 126.626972°)_SwinIR_SwinIR.png",887,937,"/content/detectron2/5월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.626972°)_SwinIR_SwinIR.png"
7,"(37.482280°, 126.628293°)_SwinIR_SwinIR.png",59,696,"/content/detectron2/5월/(37.482280°, 126.628293°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.628293°)_SwinIR_SwinIR.png"
8,"(37.482280°, 126.630936°)_SwinIR_SwinIR.png",829,1005,"/content/detectron2/5월/(37.482280°, 126.630936°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.630936°)_SwinIR_SwinIR.png"
9,"(37.482280°, 126.630936°)_SwinIR_SwinIR.png",341,76,"/content/detectron2/5월/(37.482280°, 126.630936°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.630936°)_SwinIR_SwinIR.png"
10,"(37.482280°, 126.632257°)_SwinIR_SwinIR.png",51,724,"/content/detectron2/5월/(37.482280°, 126.632257°)_SwinIR_SwinIR.png","/content/detectron2/6월/(37.482280°, 126.632257°)_SwinIR_SwinIR.png"
